Mr,DAug,DAgr,DAri,DAiz,DBug,DBgr,DBri,DBiz,DCug,DCgr,DCri,DCiz
13.799999999999887,0.5830657494323187,0.2819731726819458,0.15825432927691832,0.004060913564312541,0.3673622899393596,0.10181333338046056,0.02442822746683425,0.25222940951261175,0.5041209281208012,0.17148736854092472,0.0803209981591974,-0.053135627552696525
13.819999999999887,0.5848279886632843,0.2879495953286232,0.1640727172933265,0.006126951764838628,0.37109292557140094,0.1052094096003277,0.026681528193740197,0.25636987040851467,0.5100507714087902,0.17614219424134556,0.10015018710018164,-0.05077150472673843
13.839999999999886,0.586581725196523,0.29395903209642155,0.17001309944818666,0.00819013383621653,0.3748235612034423,0.10860548582019484,0.028934828920646145,0.26051033130441753,0.5159806146967791,0.1807970199417664,0.12010356705214578,-0.04840738190078033
13.859999999999886,0.5883270563579066,0.3000020362221246,0.17608348708012841,0.010250471590894168,0.3785541968354837,0.11200156204006198,0.031188129647552094,0.2646507922003204,0.5219104579847681,0.18545184564218722,0.12010356705214578,-0.046043259074822235
13.879999999999885,0.5900640777492421,0.3060791765688521,0.18229280875274514,0.01230797676011958,0.38228483246752504,0.11539763825992912,0.03344143037445804,0.26879125309622326,0.527840301272757,0.19010667134260806,0.1201035670521458,-0.04367913624886413
13.899999999999885,0.5917928832891728,0.31219103825104966,0.18865106437442855,0.014362660994720252,0.3860154680995664,0.11879371447979627,0.035694731101363994,0.2729317139921261,0.5337701445607459,0.1947614970430289,0.12010356705214578,-0.041315013422906034
13.919999999999884,0.5935135652528712,0.3183382232919896,0.1951695143038773,0.01641453586587281,0.38974610373160773,0.1221897906996634,0.037948031828269946,0.277072174888029,0.5396999878487349,0.19941632274344973,0.12010356705214577,-0.03895089059694794
13.939999999999884,0.5952262143105715,0.3245213513158748,0.2018609136672549,0.01846361286586328,0.3934767393636491,0.12558586691953055,0.04020133255517589,0.28121263578393185,0.5456298311367238,0.20407114844387056,0.12010356705214578,-0.03658676777098984
13.959999999999884,0.5969309195649736,0.33074106027679623,0.208739805845099,0.020509903408838095,0.3972073749956904,0.12898194313939768,0.04245463328208184,0.2853530966798347,0.5515596744247128,0.2087259741442914,0.12010356705214578,-0.034222644945031744
13.979999999999883,0.5986277685875645,0.33699800722697265,0.21582289448508488,0.022553418831545845,0.40093801062773177,0.13237801935926483,0.04470793400898779,0.2894935575757376,0.5574895177127017,0.21338079984471223,0.12010356705214578,-0.03185852211907365
13.999999999999883,0.6003168474538934,0.34329286912689044,0.22312952135712283,0.02459417039407006,0.40466864625977317,0.13577409557913198,0.04696123473589374,0.29363401847164045,0.5634193610006907,0.21803562554513306,0.12010356705214577,-0.029494399293115547
14.019999999999882,0.6019982407778314,0.3496263437001716,0.23068228936250937,0.02663216928055309,0.4083992818918145,0.1391701717989991,0.04921453546279969,0.2977744793675433,0.5693492042886796,0.2226904512455539,0.12010356705214578,-0.02713027646715745
14.039999999999882,0.6036720317448583,0.3559991503362251,0.23850788852639973,0.028667426599911207,0.41212991752385586,0.14256624801886625,0.051467836189705636,0.3019149402634462,0.5752790475766686,0.22734527694597473,0.12010356705214577,-0.02476615364119935
14.059999999999881,0.6053383021444027,0.36241203104398706,0.24663821217947446,0.030699953386541065,0.4158605531558972,0.1459623242387334,0.05372113691661159,0.30605540115934904,0.5812088908646575,0.23200010264639556,0.12010356705214581,-0.022402030815241253
14.079999999999881,0.6069971324012708,0.3688657514603301,0.2551118986064618,0.03272976060101771,0.41959118878793855,0.14935840045860052,0.05597443764351753,0.3101958620552519,0.5871387341526465,0.2366549283468164,0.12010356705214578,-0.020037907989283156
